19050103,1969,43,20,37
19050104,1740,39,26,62
19050105,1519,40,23,14
19050106,1648,31,21,41
19050107,1594,50,30,31
19050109,1250,31,24,17
19050110,1851,37,36,27
19050111,1587,21,15,24
19050112,1325,19,13,30
19050113,1606,49,18,25
19050114,1687,21,14,67
19050116,2405,49,32,51
19050117,1703,34,23,22
19050118,1606,22,19,31
19050119,1895,30,24,17
19050120,1203,20,14,19
19050121,683,15,9,19
19050123,2355,42,30,43
19050124,1564,42,19,19
19050125,1325,35,19,27
19050126,2107,47,29,38
19050127,1248,24,23,39
19050128,1199,27,12,32
19050130,2413,66,39,38
19050131,1782,31,31,38
19050201,926,15,21,21
19050202,1565,30,19,45
19050203,1424,19,21,24
19050204,1813,39,29,78
19050206,4232,115,40,61
19050207,1196,22,16,78
19050208,841,14,14,20
19050209,206,3,6,10
19050210,1681,35,28,31
19050211,1678,32,18,24
19050214,3215,76,52,81
19050215,1232,16,12,17
19050216,1908,25,22,34
19050217,996,16,12,27
19050218,1420,28,25,23
19050220,3596,90,52,58
19050221,2148,43,19,50
19050223,1026,19,11,25
19050224,2138,53,25,32
19050225,1227,24,12,15
19050227,3522,88,53,102
19050228,838,13,5,19
19050301,1512,27,16,24
19050302,1998,47,39,22
19050303,1885,27,25,25
19050304,1921,55,19,41
19050306,4045,99,53,107
19050307,1329,42,15,23
19050308,1969,29,17,29
19050309,1671,20,21,72
19050310,2098,33,43,34
19050311,1939,36,35,43
19050313,3266,60,56,58
19050314,1385,24,11,19
19050315,1141,17,15,15
19050316,1902,33,17,43
19050317,2047,27,25,32
19050318,1334,21,17,20
19050320,3821,98,48,139
19050321,1334,27,25,14
19050322,450,7,7,8
19050323,1614,55,12,31
19050324,1747,31,21,58
19050325,1804,38,18,20
19050327,4319,94,65,79
19050328,1417,31,22,19
19050329,1625,40,21,26
19050330,1198,15,20,25
19050331,1473,19,21,18
19050401,1565,38,24,14
19050403,3651,83,40,55
19050404,1860,30,20,25
19050405,1589,29,31,21
19050406,1400,19,21,30
19050407,1023,12,17,23
19050408,1901,28,37,31
19050410,3122,64,45,58
19050411,1348,34,26,23
19050412,1580,23,31,30
19050413,1518,36,29,19
19050414,1547,33,19,38
19050415,1176,19,19,14
19050417,4013,90,64,41
19050418,1277,32,24,14
19050419,1282,27,19,18
19050420,1667,44,18,13
19050424,4890,114,60,78
19050425,2045,62,25,39
19050426,1464,37,33,20
19050427,1587,36,23,14
19050428,1671,62,11,14
19050429,1450,55,24,18
19050501,2698,105,37,77
19050502,1771,35,27,15
19050503,1241,27,20,13
19050504,1695,37,24,39
19050505,1641,45,17,16
19050506,1559,38,27,24
19050508,3342,73,53,134
19050509,1734,37,13,68
19050510,456,21,15,7
19050511,1088,23,9,18
19050512,1578,29,34,16
19050513,1515,34,25,22
19050515,2925,66,43,95
19050516,1791,34,22,22
19050517,1501,25,21,23
19050518,1700,36,19,24
19050519,1883,53,20,17
19050520,934,30,6,7
19050522,3468,103,44,76
19050523,970,25,14,15
19050524,1088,38,12,12
19050525,1089,22,17,13
19050526,1252,51,18,21
19050527,1482,35,18,17
19050529,2701,73,42,38
19050531,2022,31,35,28
19050601,1331,31,23,17
19050602,1301,25,13,27
19050603,1824,47,23,36
19050605,3427,91,57,70
19050606,1257,35,19,19
19050607,902,26,12,10
19050608,1224,18,15,20
19050609,771,9,14,26
19050610,864,16,8,29
19050612,2855,62,46,28
19050613,1583,38,24,21
19050614,859,24,16,24
19050615,913,26,12,21
19050616,678,13,9,17
19050617,401,10,9,6
19050619,3033,77,32,33
19050620,1705,22,16,40
19050621,1060,15,28,18
19050622,1589,22,21,46
19050623,1184,20,23,19
19050624,1170,23,20,17
19050626,3089,97,64,36
19050627,567,14,14,8
19050628,1151,31,18,21
19050629,1335,31,17,17
19050630,1247,21,14,22
19050701,1195,24,19,24
19050703,3675,94,47,103
19050705,1736,28,17,61
19050706,1425,25,16,25
19050707,1096,24,12,24
19050708,1398,21,21,20
19050710,2796,67,44,69
19050711,481,16,7,11
19050712,1222,32,13,49
19050713,1053,21,20,23
19050714,1085,18,15,25
19050715,1019,22,15,19
19050717,2880,67,24,53
19050718,1484,20,12,41
19050719,775,10,8,17
19050720,966,23,12,16
19050721,1295,22,19,32
19050722,1017,24,9,23
19050724,2826,63,35,63
19050725,1067,40,8,17
19050726,385,5,1,18
19050727,515,13,9,15
19050728,814,14,10,32
19050729,885,16,14,16
19050731,2167,43,24,39
19050801,1031,15,12,27
19050802,913,22,12,30
19050803,1078,21,10,32
19050804,943,13,19,26
19050805,888,24,21,28
19050807,2735,45,25,40
19050808,1245,9,23,19
19050809,1033,24,18,14
19050810,1095,17,15,18
19050811,1231,12,19,65
19050812,1075,14,16,22
19050814,2695,59,40,75
19050815,1481,22,20,23
19050816,873,22,22,19
19050817,1211,12,14,21
19050818,1521,24,34,24
19050819,1068,33,12,16
19050821,3171,75,41,160
19050822,917,15,10,16
19050823,1086,27,18,16
19050824,1153,5,18,20
19050825,1405,29,22,38
19050826,498,16,3,12
19050828,2960,57,35,106
19050829,1133,27,7,33
19050830,2312,36,39,21
19050831,2077,37,23,22
19050901,2350,83,25,26
19050902,1973,50,14,15
19050905,3927,79,43,114
19050906,1901,52,28,13
19050907,2780,57,23,132
19050908,1891,43,23,17
19050909,1768,46,24,49
19050911,2155,46,25,56
19050912,1798,37,23,28
19050913,1867,26,22,33
19050914,1984,51,21,38
19050915,1995,44,19,24
19050916,1656,44,13,26
19050918,4078,64,40,145
19050919,1949,50,27,34
19050920,1847,43,18,33
19050921,2025,34,30,38
19050922,1967,36,32,37
19050923,1692,32,23,28
19050925,3679,73,52,70
19050926,2001,45,16,31
19050927,1858,51,29,31
19050928,1929,45,25,28
19050929,1947,43,19,29
19050930,1930,41,21,35
19051002,3810,62,48,42
19051003,1885,33,33,35
19051004,1745,35,26,31
19051005,1962,39,23,43
19051006,1993,39,19,31
19051007,2049,60,18,39
19051009,3954,71,34,120
19051010,2102,74,21,23
19051011,1870,35,37,48
19051012,1947,58,24,29
19051013,1787,56,21,38
19051014,2137,32,21,44
19051016,3856,50,57,45
19051017,1870,45,21,26
19051018,1888,48,23,30
19051019,2021,41,25,53
19051020,2022,54,21,50
19051021,1420,25,31,33
19051023,3758,47,62,67
19051024,2174,41,41,34
19051025,2112,41,28,34
19051026,524,19,11,6
19051027,2070,53,19,78
19051028,1808,46,25,24
19051030,3900,114,34,97
19051031,2198,48,17,39
19051101,2090,50,28,38
19051102,2135,38,26,22
19051103,1969,49,20,50
19051104,2006,41,25,40
19051106,3972,76,39,88
19051108,1834,35,24,65
19051109,2110,53,12,50
19051110,2014,64,8,43
19051111,1931,44,21,26
19051113,3289,67,21,301
19051114,601,18,2,13
19051115,2010,49,27,22
19051116,1968,45,16,24
19051117,1998,62,24,29
19051118,1637,30,23,34
19051120,3526,79,52,76
19051121,2210,31,26,39
19051122,1961,31,24,42
19051123,2460,45,21,47
19051124,1775,41,25,47
19051125,2120,48,31,22
19051127,3763,76,57,84
19051128,2106,40,26,33
19051129,2256,58,33,47
19051201,1827,45,24,65
19051202,2433,75,39,53
19051204,3626,88,30,47
19051205,1999,58,19,35
19051206,2281,55,25,35
19051207,2141,57,37,36
19051208,2265,50,41,40
19051209,2211,45,19,47
19051211,4138,93,34,74
19051212,1906,31,37,37
19051213,2257,46,33,39
19051214,2408,43,40,38
19051215,2503,88,23,27
19051216,2027,51,38,37
19051218,4072,77,37,92
19051219,2091,71,26,45
19051220,2637,51,36,34
19051221,2171,55,26,37
19051222,2065,56,34,32
19051223,2446,51,48,52
19051226,3481,43,39,63
19051227,2376,33,48,58
19051228,2435,68,20,70
19051229,3138,71,24,58
19051230,2100,31,15,44
19060102,1993,41,17,13
19060103,2292,42,26,29
19060104,2535,45,33,36
19060105,2085,58,19,49
19060106,2583,44,44,44
19060108,3767,82,37,92
19060109,2089,32,24,38
19060110,2642,37,38,39
19060111,2457,46,35,33
19060112,2340,42,59,51
19060113,2057,29,37,33
19060115,4121,57,58,69
19060116,2245,41,39,41
19060117,2077,38,32,41
19060118,2511,39,26,55
19060119,2141,32,32,48
19060120,2110,34,31,35
19060122,3854,63,55,106
19060123,2400,52,30,49
19060124,2158,55,31,28
19060125,1530,39,24,27
19060126,2556,67,20,43
19060127,2068,49,37,25
19060129,3883,93,37,80
19060130,2111,69,19,17
19060131,2429,63,32,45
19060201,2085,32,32,45
19060202,2532,63,34,48
19060203,2049,39,22,38
19060205,4188,115,55,74
19060206,2429,41,21,26
19060207,2111,43,20,47
19060208,2264,58,42,22
19060209,2177,47,27,61
19060210,2251,45,49,24
19060213,4330,134,46,142
19060214,2208,40,32,34
19060215,2034,45,26,29
19060216,2166,61,26,30
19060217,2229,67,31,24
19060219,2629,49,26,43
19060220,2240,50,41,36
19060221,2424,65,26,24
19060223,2782,57,29,173
19060224,2328,36,30,38
19060226,2869,54,23,129
19060227,2250,47,48,26
19060228,2163,64,42,31
19060301,2508,52,28,33
19060302,2227,58,26,63
19060303,2102,49,32,33
19060305,3005,54,29,125
19060306,2147,67,29,34
19060307,1734,46,22,51
19060308,2296,59,31,27
19060309,2255,54,29,26
19060310,2339,52,40,25
19060312,2741,67,26,46
19060313,2567,44,17,42
19060314,2345,68,29,24
19060315,2106,42,28,59
19060316,1846,64,13,53
19060317,2064,41,33,35
19060319,2668,70,23,38
19060320,2237,68,15,44
19060321,1916,53,19,33
19060322,2183,41,20,49
19060323,2023,43,27,24
19060324,1946,29,25,23
19060326,2572,47,33,71
19060327,2208,51,42,33
19060328,2257,57,18,55
19060329,2221,38,29,183
19060330,2005,38,30,31
19060331,2249,52,40,29
19060402,2710,65,30,28
19060403,2151,47,52,31
19060404,2164,55,31,30
19060405,2329,45,39,31
19060406,2017,42,25,29
19060407,2136,32,27,55
19060409,2082,48,30,40
19060410,2017,58,16,36
19060411,2916,89,47,80
19060412,2115,42,32,24
19060413,2088,44,32,27
19060414,1970,34,28,28
19060416,2885,52,43,125
19060417,2337,41,32,46
19060418,2319,35,41,22
19060419,2199,93,19,21
19060420,2146,90,19,18
19060421,2013,63,25,33
19060423,1875,56,10,29
19060424,2214,72,25,34
19060425,2106,52,24,55
19060426,2062,80,27,18
19060427,2117,65,25,44
19060428,2185,83,23,33
19060430,2636,70,32,79
19060501,2105,62,24,15
19060502,2121,66,21,45
19060503,2421,83,21,52
19060504,2406,66,21,18
19060505,2109,63,22,25
19060507,2695,54,31,133
19060508,2125,56,37,18
19060509,2293,41,24,46
19060510,2066,49,28,41
19060511,2034,40,34,31
19060512,2325,48,43,47
19060514,2501,51,26,32
19060515,2083,44,28,32
19060516,2109,34,29,28
19060517,2318,44,26,36
19060518,2404,55,32,38
19060519,2076,41,20,23
19060521,2258,46,36,26
19060522,2046,33,13,33
